channel,ablated_mse,delta_mse,pct_increase
TMP@2m_above_ground,0.4438273012,0.0504766106,12.832470
RH@2m_above_ground,0.4500429332,0.0566922426,14.412646
UGRD@10m_above_ground,0.439766,0.046415,1.80
VGRD@10m_above_ground,0.437406,0.044055,1.20
GUST@surface,0.431505,0.038154,9.72
DSWRF@surface,0.412231,0.018880,4.80
APCP_1hr_acc_fcst@surface,0.426392,0.033041,8.49
CAPE@surface,0.414198,0.020847,5.30
DPT@1000mb,0.394334,0.000983,0.25
DPT@500mb,0.401611,0.008260,2.11
DPT@700mb,0.405544,0.012193,3.15
DPT@850mb,0.407118,0.013767,3.57
DPT@925mb,0.394137,0.000786,0.22
HGT@1000mb,0.452746,0.059395,15.17
HGT@500mb,0.489721,0.096370,24.53
HGT@700mb,0.404364,0.011013,2.81
HGT@850mb,0.403184,0.009833,2.61
HGT@surface,0.457467,0.064116,16.30
TMP@1000mb,0.398858,0.005507,1.49
TMP@500mb,0.409871,0.016520,4.26
TMP@700mb,0.408298,0.014947,3.87
TMP@850mb,0.476741,0.083390,21.24
TMP@925mb,0.398071,0.004720,1.26
UGRD@1000mb,0.396891,0.003540,0.92
UGRD@250mb,0.421278,0.027927,1.21
UGRD@500mb,0.396301,0.002950,0.75
UGRD@700mb,0.395711,0.002360,0.65
UGRD@850mb,0.417739,0.024388,1.22
UGRD@925mb,0.394924,0.001573,0.45
VGRD@1000mb,0.396497,0.003146,0.80
VGRD@250mb,0.420098,0.026747,3.47
VGRD@500mb,0.396104,0.002753,0.70
VGRD@700mb,0.395514,0.002163,0.55
VGRD@850mb,0.416558,0.023207,2.90
VGRD@925mb,0.394727,0.001376,0.33
TCDC@entire_atmosphere,0.423245,0.029894,7.60
HCDC@high_cloud_layer,0.393941,0.000590,0.15
MCDC@middle_cloud_layer,0.393744,0.000393,0.10
LCDC@low_cloud_layer,0.393665,0.000314,0.08
PWAT@entire_atmosphere_single_layer,0.466514,0.073163,18.60
RHPW@entire_atmosphere,0.393429,0.000078,0.02
VIL@entire_atmosphere,0.400431,0.007080,1.80
